,cluster,avg_throughput_time
0,-1,171197.57777777777
1,0,177773.5
2,1,148550.5
3,2,142146.5
4,3,31963.267605633802
5,4,31334.333333333332
6,5,197723.0
7,6,140882.0
8,7,149652.33333333334
9,8,143239.66666666666
10,9,200177.0
11,10,139375.5
12,11,123880.5
13,12,158966.5
14,13,200009.14285714287
15,14,112734.0
16,15,137235.0
17,16,150965.83333333334
18,17,128196.0
19,18,162101.5
20,19,52057.944444444445
21,20,64327.0
22,21,45991.0
23,22,57161.77702702703
24,23,62868.666666666664
25,24,69770.82608695653
26,25,63958.148148148146
27,26,46035.0
28,27,67115.5625
29,28,40132.333333333336
30,29,58258.82389937107
31,30,56830.666666666664
32,31,68717.55704697987
33,32,152671.0
34,33,22440.5
35,34,147324.0
36,35,153670.0
37,36,175570.5
38,37,144442.0
39,38,82434.66666666667
40,39,175105.0
41,40,170308.66666666666
42,41,176749.66666666666
43,42,209320.0
44,43,226130.6
45,44,-11.833333333333334
46,45,0.0
47,46,20477.285714285714
48,47,164754.0
49,48,143328.0
50,49,138237.25
51,50,152286.55102040817
52,51,150045.75
53,52,137234.23529411765
54,53,165956.0
55,54,130405.0
56,55,114132.0
57,56,110604.33333333333
58,57,144021.51515151514
59,58,140735.0
60,59,132377.33333333334
61,60,160676.1875
62,61,41781.307692307695
63,62,62516.666666666664
64,63,78251.62962962964
65,64,158397.0
66,65,212345.75
67,66,191638.5
68,67,149839.0
69,68,163915.5
70,69,173369.90625
71,70,185067.77777777778
72,71,203622.54545454544
73,72,216819.0
74,73,143626.0
75,74,196036.0
76,75,172808.45714285714
77,76,193000.02702702704
78,77,83503.84848484848
79,78,134845.14285714287
80,79,214788.0
81,80,217842.14285714287
82,81,187886.0
83,82,212710.5
84,83,173856.5
85,84,215701.75
86,85,220014.04545454544
87,86,228440.11111111112
88,87,775.5
89,88,22131.8
90,89,104256.0
91,90,144312.0
92,91,162443.5625
93,92,139589.6
94,93,157626.33333333334
95,94,184339.55555555556
96,95,187798.0
97,96,146548.5
98,97,33829.666666666664
99,98,57752.0
100,99,297587.5
101,100,22414.5
102,101,146819.5
103,102,53591.0
104,103,210420.25
105,104,208867.57142857142
106,105,251064.0
107,106,253760.0
108,107,220637.0
109,108,163699.0
110,109,217886.75
111,110,135919.5
112,111,196248.5
113,112,245675.5
114,113,42127.0
115,114,205532.5
116,115,180791.0
117,116,41631.5
118,117,60339.166666666664
119,118,155069.75
120,119,230824.0
121,120,115009.5
122,121,139266.0
123,122,177803.1052631579
124,123,196936.88888888888
125,124,82846.0
126,125,114040.71428571429
127,126,249146.0
128,127,220235.42857142858
129,128,242043.66666666666
130,129,286432.3333333333
131,130,64181.181818181816
132,131,30899.666666666668
133,132,51411.0
134,133,61829.11111111111
135,134,58350.666666666664
136,135,11.941176470588236
137,136,15.179775280898877
138,137,20282.789285714287
139,138,89331.5
140,139,162416.36842105264
141,140,169066.8
142,141,116093.4
143,142,154656.75
144,143,122076.88888888889
145,144,129569.66666666667
146,145,148108.43457943926
147,146,138452.0
148,147,144456.33333333334
149,148,123571.42857142857
150,149,161977.0
151,150,161321.13414634147
152,151,115977.2
153,152,148694.0
154,153,93703.0
155,154,122771.5
156,155,151071.7857142857
157,156,166261.0
158,157,96115.75
159,158,134249.13333333333
160,159,111272.58333333333
161,160,137922.57142857142
162,161,145957.10447761195
163,162,67382.5
164,163,117950.85714285714
165,164,161123.14285714287
166,165,115988.9375
167,166,123987.14285714286
168,167,154008.64039408867
169,168,41873.9
170,169,62768.03773584906
171,170,78887.41610738255
172,171,200260.75
173,172,194769.0
174,173,158248.85714285713
175,174,175813.5
176,175,175872.0
177,176,210629.5
178,177,178816.73484848486
179,178,180509.5
180,179,198184.66666666666
181,180,216238.66666666666
182,181,186646.66666666666
183,182,184292.16129032258
184,183,153576.0
185,184,191249.33333333334
186,185,131212.0
187,186,173477.6
188,187,142922.5
189,188,161793.9411764706
190,189,182545.7
191,190,177753.78305084744
192,191,157152.25
193,192,182044.16666666666
194,193,178761.75
195,194,197598.5
196,195,201319.37391304347
197,196,72375.90566037736
198,197,133235.18181818182
199,198,201793.7142857143
200,199,283376.0
201,200,218344.925
202,201,226602.70833333334
203,202,223853.0
204,203,211470.0
205,204,207620.25
206,205,229972.66666666666
207,206,243611.8
208,207,221502.55555555556
209,208,193249.66666666666
210,209,223125.9512195122
211,210,126685.0
212,211,841.3913043478261
213,212,21505.617647058825
214,213,216876.0
215,214,131603.5
216,215,145589.93333333332
217,216,181960.6
218,217,136445.5
219,218,174454.33333333334
220,219,96528.0
221,220,117546.85714285714
222,221,96641.5
223,222,137202.2380952381
224,223,160538.9375
225,224,43451.0
226,225,63039.28571428572
227,226,77230.84615384616
228,227,178770.5
229,228,184163.9
230,229,144371.0
231,230,193423.64285714287
232,231,172587.33333333334
233,232,77727.0
234,233,69419.5
235,234,163511.16666666666
236,235,193419.66666666666
237,236,215311.16666666666
238,237,217018.25
239,238,175377.4
240,239,182037.5
241,240,143169.5
242,241,49269.0
243,242,141496.0
244,243,226930.0
245,244,157087.75
246,245,21817.73076923077
247,246,190563.73333333334
248,247,43659.5
249,248,206774.0
250,249,145528.5
251,250,56018.20754716981
252,251,154088.54545454544
253,252,192509.5
254,253,272405.5
255,254,117182.2
256,255,242360.84615384616
257,256,241783.35714285713
258,257,127648.0
259,258,198196.5
260,259,170370.66666666666
261,260,171316.0
262,261,213485.85714285713
263,262,240396.66666666666
264,263,199547.57142857142
265,264,110239.63157894737
266,265,269162.5
267,266,258598.75
268,267,260861.0
269,268,255944.0588235294
270,269,237042.66666666666
271,270,217042.66666666666
272,271,185839.0
273,272,304093.0
274,273,225197.0
275,274,171152.29411764705
276,275,212337.66666666666
277,276,56774.5
278,277,259723.0
279,278,82032.0
280,279,42041.25
281,280,60193.933333333334
282,281,134325.0
283,282,177789.81818181818
284,283,151746.0
285,284,164919.0
286,285,203707.5
287,286,191440.0
288,287,178620.88888888888
289,288,93040.0
290,289,114047.25
291,290,207386.33333333334
292,291,197655.5
293,292,215728.54545454544
294,293,173671.5
295,294,41919.769230769234
296,295,60471.729166666664
297,296,238451.0
298,297,151560.0
299,298,168681.8
300,299,118920.0
301,300,159870.14285714287
302,301,168689.0
303,302,244513.5
304,303,146957.16666666666
305,304,187003.75
306,305,162542.52307692307
307,306,164475.0
308,307,182531.08823529413
309,308,97291.47368421052
310,309,113885.41666666667
311,310,221133.5
312,311,190357.0
313,312,205565.57142857142
314,313,191863.33333333334
315,314,195329.5
316,315,222801.66666666666
317,316,208849.0
318,317,197154.0
319,318,182527.5
320,319,211798.5
321,320,221272.75
322,321,60477.5
323,322,127538.0
324,323,205861.0
325,324,179972.0
326,325,189081.22222222222
327,326,190266.0
328,327,118849.0
329,328,275956.0
330,329,214148.75
331,330,235182.0
332,331,
333,332,144871.5
334,333,131115.7142857143
335,334,135543.625
336,335,166645.5
337,336,178465.66666666666
338,337,129268.0
339,338,141498.5
340,339,103682.0
341,340,164976.66666666666
342,341,165793.0
343,342,130869.0
344,343,43666.34920634921
345,344,59508.583333333336
346,345,67830.5
